time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-03 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-04 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-07 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-08 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-09 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-10 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-11 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-14 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-15 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-16 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-17 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-18 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-21 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-22 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-23 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-24 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-25 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-28 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-29 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-01-30 00:00:00,3.127,3.127,3.127,3.127,2700,8442.9,,,,,
2013-01-31 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-01 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-04 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-05 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-06 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-07 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-08 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-18 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-19 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-20 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-21 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-22 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-25 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-26 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-27 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-02-28 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-03-01 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-03-04 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-03-05 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-03-06 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-03-07 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-03-08 00:00:00,3.127,3.127,3.127,3.127,0,0.0,,,,,
2013-03-11 00:00:00,3.44,3.44,3.269,3.269,3100,10133.9,,,,,
2013-03-12 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-03-13 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-03-14 00:00:00,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-03-15 00:00:00,3.582,3.582,3.582,3.582,100,358.2,,,,,
2013-03-18 00:00:00,3.582,3.582,3.582,3.582,0,0.0,,,,,
2013-03-19 00:00:00,3.582,3.582,3.582,3.582,0,0.0,,,,,
