date,open,high,low,close,volume,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,buy_vol_1,sell_vol_1,sell_pressure
2025-12-15,14.1,14.1,14.1,14.1,10100.0,,,,,,,
2025-12-16,16.2,16.2,16.2,16.2,51800.0,,,,,,,
2025-12-17,18.6,18.6,18.6,18.6,31600.0,,,,,,,
2025-12-18,21.3,21.3,20.4,20.4,85700.0,,,,,,,
2025-12-19,24.2,24.3,24.1,24.1,26800.0,,,,,,,
2025-12-22,24.2,24.3,20.7,24.0,31500.0,,,,,,,
2025-12-23,23.0,24.0,19.5,22.0,20400.0,,,,,,,
2025-12-24,21.6,22.0,20.0,21.9,24500.0,,,,,,,
2025-12-25,18.2,23.0,18.2,21.5,20600.0,,,,,,,
2025-12-26,21.0,21.9,20.0,20.1,9500.0,,,,,,,
2025-12-29,19.5,21.0,17.9,18.7,23600.0,,,,,,,
2025-12-30,18.7,21.3,18.7,20.0,12500.0,,,,,,,
2025-12-31,21.9,21.9,17.7,19.9,25700.0,,,,,,,
2026-01-05,19.9,20.5,17.7,18.0,12100.0,,,,,,,
2026-01-06,17.2,20.4,17.2,20.0,28400.0,,,,,,,
2026-01-07,19.9,20.0,17.8,18.3,29100.0,,,,,,,
2026-01-08,19.5,19.6,17.3,18.7,18200.0,,,,,,,
2026-01-09,19.0,19.1,17.8,18.4,20400.0,,,,,,,
2026-01-12,18.6,19.2,17.7,17.8,20300.0,,,,,,,
2026-01-13,18.8,18.8,17.4,17.5,19000.0,,,,,,,
2026-01-14,20.7,20.7,18.5,20.7,25400.0,,,,,,,
2026-01-15,20.5,21.8,20.5,21.8,7400.0,,,,,,,
2026-01-16,20.5,23.5,20.5,22.1,8800.0,,,,,,,
2026-01-19,23.5,26.0,23.5,25.2,10800.0,,,,,,,
2026-01-20,26.2,26.2,24.9,25.1,2800.0,,,,,,,
2026-01-28,24.8,24.8,22.0,22.0,17900.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0
