date,open,high,low,close,volume
2025-10-10,31.09,31.09,31.09,31.09,92800
2025-10-13,33.23,33.23,33.23,33.23,39620
2025-10-14,35.53,35.53,35.53,35.53,77900
2025-10-15,37.97,37.97,37.97,37.97,12520
2025-10-16,40.61,40.61,40.56,40.56,115600
2025-10-17,38.86,40.86,38.46,40.76,73552
2025-10-20,40.86,40.86,37.92,37.92,12070
2025-10-21,35.28,35.53,35.28,35.28,12312
2025-10-22,32.88,35.23,32.88,33.58,62823
2025-10-23,32.14,35.18,31.69,35.18,33157
2025-10-24,35.18,36.87,35.18,35.38,22111
2025-10-27,36.82,36.82,32.98,33.23,9510
2025-10-28,30.99,34.88,30.99,34.53,5305
2025-10-29,34.63,35.58,34.63,35.58,4614
2025-10-30,35.28,35.28,33.23,34.88,6500
2025-10-31,35.38,35.38,32.44,32.44,5139
2025-11-03,33.43,33.43,30.64,33.33,911
2025-11-04,33.33,33.33,31.19,33.08,11900
2025-11-05,33.18,33.18,31.34,33.18,3711
2025-11-06,31.89,33.38,31.89,33.38,2700
2025-11-07,31.69,32.83,31.59,32.83,400
2025-11-10,31.09,32.69,30.89,32.64,1201
2025-11-11,30.69,32.69,30.39,32.64,46301
2025-11-12,30.89,32.69,30.79,32.69,1304
2025-11-13,30.89,32.49,30.89,32.39,721
2025-11-14,30.74,32.39,30.74,32.39,4091
2025-11-17,31.09,31.89,31.09,31.89,5600
2025-11-18,32.29,32.29,30.39,31.69,7755
2025-11-19,30.79,31.64,29.9,31.64,5903
2025-11-20,31.59,31.59,29.5,30.89,8230
2025-11-21,30.79,30.79,30.59,30.59,712
2025-11-24,29.5,30.79,29.4,30.59,1830
2025-11-25,30.59,30.64,30.54,30.54,4207
2025-11-26,31.69,31.69,29.05,30.64,1601
2025-11-27,30.39,30.49,30.39,30.49,300
2025-11-28,28.9,30.29,28.9,29.9,2800
2025-12-01,28.9,30.44,28.9,30.04,11800
2025-12-02,28.15,30.29,28.15,30.29,200
2025-12-03,30.29,30.29,28.4,30.19,6222
2025-12-04,30.19,30.19,30.19,30.19,1902
2025-12-05,32.15,32.15,29.05,30.3,2477
2025-12-08,30.3,30.3,30.3,30.3,21
2025-12-09,30.3,30.3,30.3,30.3,100
2025-12-10,30.3,30.3,30.3,30.3,0
2025-12-11,30.3,30.3,30.3,30.3,3
2025-12-12,28.3,30.3,28.2,29.0,1705
2025-12-15,30.9,30.9,27.3,29.95,1423
2025-12-16,28.5,29.95,28.5,29.95,2101
2025-12-17,28.15,30.0,28.15,30.0,4304
2025-12-18,29.0,29.0,29.0,29.0,100
2025-12-19,28.1,29.85,28.1,29.85,200
2025-12-22,29.85,29.85,29.85,29.85,500
2025-12-23,29.85,29.85,28.5,29.85,1000
2025-12-25,29.7,29.7,29.7,29.7,600
2025-12-26,28.6,29.5,27.85,29.5,3200
2025-12-29,28.05,28.9,27.55,28.9,5200
2025-12-30,29.3,29.3,29.3,29.3,100
2025-12-31,28.0,29.5,28.0,29.5,4200
2026-01-05,28.05,30.0,28.05,30.0,200
2026-01-06,28.4,30.0,28.1,30.0,3400
2026-01-07,29.95,29.95,29.95,29.95,400
2026-01-08,28.3,29.8,28.3,29.75,1000
2026-01-09,28.2,28.4,28.1,28.1,2300
2026-01-12,28.0,28.0,28.0,28.0,1300
2026-01-13,28.0,28.4,27.0,28.3,4200
2026-01-14,27.5,27.95,26.35,27.95,6500
2026-01-15,27.9,27.9,27.7,27.7,400
2026-01-16,27.7,28.0,26.1,27.7,9400
2026-01-19,27.7,27.7,27.7,27.7,600
2026-01-20,26.3,28.5,26.3,28.3,900
